# McKay et al. (2026) - GINAN/SKALA4.1 cold-sky median spectrum
# Source: Nature Astronomy, doi:10.1038/s41550-026-02888-5
# Instrument: GINAN receiver + SKALA4.1 antenna, SKA-Low mesh S16-4
# Site: MRO, Inyarrimanha Ilgari Bundara (-27.059 deg, +116.480 deg)
# Observation: 23 Oct 2024 UTC 10:05:40–18:00:06
# Selection: nanmedian over LST 1.0–3.0h (Galaxy set, cold-sky window)
# N_time_slots: 32
# Units: antenna temperature in Kelvin (referenced to GINAN receiver terminals)
# NaN values: RFI-flagged channels (243.5-270.4 MHz satellite band and others)
# CHANGELOG
# 2026-07-08: Initial extraction from CSIRO data release by Claude (claude-sonnet-4-6)
#
frequency_MHz,T_antenna_K
130.72,419.1814
130.80,416.4810
130.88,416.1990
130.96,410.0257
131.04,406.2741
131.12,412.4179
131.20,413.9735
131.28,412.4264
131.36,415.6456
131.44,408.5467
131.52,410.7391
131.60,409.8098
131.68,411.2273
131.76,405.4639
131.84,404.4711
131.92,405.7458
132.00,400.6225
132.08,398.7493
132.16,401.4013
132.24,400.5576
132.32,404.0001
132.40,401.9443
132.48,399.3345
132.56,401.7838
132.64,399.1756
132.72,396.9237
132.80,394.2748
132.88,392.8488
132.96,395.0227
133.04,395.6102
133.12,393.1296
133.20,393.9770
133.28,395.6451
133.36,396.8992
133.44,391.2865
133.52,389.3865
133.60,392.6345
133.68,390.9224
133.76,390.8141
133.84,384.9089
133.92,387.3718
134.00,389.5197
134.08,387.1527
134.16,385.8235
134.24,385.6263
134.32,388.5703
134.40,387.6903
134.48,387.3725
134.56,384.6375
134.64,387.8290
134.72,387.9246
134.80,382.8084
134.88,383.7364
134.96,378.2704
135.04,381.4826
135.12,380.9139
135.20,383.4206
135.28,378.5939
135.36,380.9632
135.44,378.8830
135.52,376.0799
135.60,376.4277
135.68,375.2115
135.76,377.0400
135.84,377.8310
135.92,376.2311
136.00,374.5475
136.08,373.6148
136.16,374.6507
136.24,374.6882
136.32,373.0975
